id ,College Name,State,Public (1)/ Private (2),num. appli. rec'd,num. appl. accepted,num. new stud. enrolled,num. FT undergrad,num. PT undergrad,in-state tuition,out-of-state tuition,room,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
273,Idaho State University,ID,1,1989,1627,1137,6547,2464,,4500,,1500,500,1575,67,16.5,33
274,Lewis-Clark State College,ID,1,1001,551,428,1970,1256,1412,5120,,,908,1721,60,12.1,44
275,Northwest Nazarene College,ID,2,616,514,385,1115,60,9840,9840,1680,339,450,822,59,14.8,58
276,University of Idaho,ID,1,3133,2799,1337,7242,1431,1548,5962,,,832,,82,13.5,45
277,Augustana College,IL,2,1879,1658,497,1950,38,13353,13353,1622,93,540,821,78,12.7,71
278,Aurora University,IL,2,532,481,127,815,801,10250,10250,,70,550,,,9.1,56
279,Barat College,IL,2,261,192,111,453,266,9690,9690,4300,140,500,500,57,9.7,71
280,Blackburn College,IL,2,500,336,156,421,27,6500,6500,,,500,1000,76,14.3,51
281,Bradley University,IL,2,3767,3414,1061,4531,643,10870,10870,2540,80,2000,1522,75,14.4,85
282,College of Saint Francis,IL,2,422,305,160,781,240,9810,9810,4160,180,400,,52,17.5,80
283,Columbia College,IL,2,2419,2160,1117,4852,1991,7310,7310,,80,500,1612,18,13.4,41
284,Concordia University,IL,2,528,403,186,1168,145,9216,9216,4191,80,400,1000,56,12.1,75
285,DePaul University,IL,2,4815,3551,1227,6069,3719,11214,11214,1479,30,600,,69,16.1,63
286,Eastern Illinois University,IL,1,5597,4253,1565,9161,845,1902,5710,,782,120,1730,62,16.2,76
287,Eureka College,IL,2,560,454,113,484,16,10955,10955,1915,150,330,670,62,10.6,53
288,Greenville College,IL,2,510,387,194,771,53,10310,10310,,,400,800,57,14.3,60
289,Illinois College,IL,2,894,787,262,909,28,8050,8050,,,600,1000,75,15.6,52
290,Illinois Institute of Technology,IL,2,1756,1360,478,1911,626,14550,14550,,40,500,700,80,12.3,56
291,Illinois State University,IL,1,8681,6695,2408,15701,1823,2600,7799,3403,815,537,2605,77,21,54
292,Northeastern Illinois University,IL,1,2086,1507,631,4056,3433,1902,5706,,236,552,2178,78,15.1,21
293,Chicago State University,IL,1,3553,1719,777,4543,2694,1848,5544,,350,650,2400,47,15.6,18
294,Illinois Wesleyan University,IL,2,3050,1342,471,1818,23,14360,14360,1760,125,400,650,77,12.9,83
297,Knox College,IL,2,1040,845,286,967,24,15747,15747,1806,186,400,800,88,12.7,79
298,Lake Forest College,IL,2,979,638,271,968,20,16880,16880,1740,230,920,1320,91,10.7,77
299,Lewis University,IL,2,1154,1050,395,2192,1423,10560,10560,2030,,500,1200,36,14.3,61
300,Loyola University Chicago,IL,2,3579,2959,868,5244,3417,11500,11500,,350,700,2000,94,6.2,65
301,MacMurray College,IL,2,740,558,177,628,63,9620,9620,2050,,550,950,49,10.8,59
302,McKendree College,IL,2,1002,555,119,836,684,7680,7680,1820,135,500,800,70,17.7,52
303,Millikin University,IL,2,1444,1261,456,1788,95,11910,11910,,91,450,965,60,11.4,75
304,Monmouth College,IL,2,601,503,204,671,11,13000,13000,2100,200,400,460,91,11.6,56
305,National-Louis University,IL,2,513,347,279,2508,505,9090,9090,4500,,650,500,62,18.3,71
306,North Central College,IL,2,1127,884,308,1310,766,11718,11718,,120,450,1800,73,16.4,76
307,North Park College,IL,2,465,361,176,879,156,12580,12580,2390,,400,970,76,13.1,74
308,Northern Illinois University,IL,1,10706,7219,2397,14826,1979,2600,7799,3296,950,470,1750,73,17.3,56
309,Northwestern University,IL,2,12289,5200,1902,7450,45,16404,16404,,,759,1585,96,6.8,92
310,Olivet Nazarene University,IL,2,678,640,388,1503,293,7700,7700,4140,136,,,39,14.6,54
311,Principia College,IL,2,205,179,129,570,22,12816,12816,2634,210,1125,2000,,9.6,90
312,Quincy University,IL,2,1025,707,297,1070,72,10100,10100,1750,210,450,1080,69,16.3,80
313,Rockford College,IL,2,591,505,196,907,364,12305,12305,4066,,800,1940,57,12.3,
314,Roosevelt University,IL,2,422,367,218,1700,2902,8580,8580,5100,80,600,,75,12.2,77
315,Rosary College,IL,2,434,321,141,624,269,10950,10950,,95,550,950,79,12.9,81
316,Southern Illinois University at Carbondale,IL,1,,,2158,16961,2499,2318,6953,1920,864,600,2608,71,14.9,44
317,Southern Illinois University at Edwardsville,IL,1,2540,2195,994,6063,2550,1824,5472,1570,488,221,2216,76,16.5,43
318,Illinois Benedictine College,IL,2,607,558,269,1222,519,10500,10500,,150,650,1500,81,11.6,75
319,Saint Xavier University,IL,2,785,647,295,1670,726,10860,10860,2666,110,600,794,87,13.7,55
320,Trinity College,IL,2,746,473,317,834,50,9600,9600,2030,75,600,1300,54,21.9,28
321,University of Chicago,IL,2,6348,2999,922,3340,39,18930,18930,3070,486,500,1254,99,5.3,90
322,University of Illinois - Urbana,IL,1,14939,11652,5705,25422,911,2760,7560,1780,920,500,1982,87,17.4,81
323,University of Illinois at Chicago,IL,1,8384,5727,2710,13518,2916,2520,7230,3198,1108,630,3228,82,10,34
324,Western Illinois University,IL,1,6491,5027,1563,9015,1449,1902,5706,1843,705,600,1993,77,17.2,55
325,Wheaton College,IL,2,1432,920,548,2200,56,11480,11480,2440,,530,1400,81,12.7,85
326,Anderson University,IN,2,1216,908,423,1819,281,10100,10100,1620,200,550,1100,48,12.1,59
327,Ball State University,IN,1,9361,7910,3849,16148,2207,2864,7244,3608,,500,1500,69,17.7,51
328,Bethel College,IN,2,495,415,267,733,402,9300,9300,1300,,500,,51,14.6,
329,Butler University,IN,2,2362,2037,700,2607,148,13130,13130,2480,65,500,1600,77,10.9,83
330,DePauw University,IN,2,1994,1656,495,1983,36,14300,14300,2510,200,550,950,78,11.1,82
331,Earlham College,IN,2,1358,1006,274,1028,13,15036,15036,1899,273,600,600,90,10.6,78
332,University of Evansville,IN,2,2096,1626,694,2551,407,11800,11800,2520,200,700,960,60,15.8,77
333,Franklin College,IN,2,804,632,281,840,68,10390,10390,1790,110,525,1345,54,12.5,60
334,Goshen College,IN,2,440,396,221,910,166,9420,9420,1800,,600,1230,51,9.9,72
335,Grace College and Seminary,IN,2,548,428,167,618,113,8958,8958,1862,,300,1000,53,15.3,64
336,Hanover College,IN,2,1006,837,317,1024,15,8200,8200,1540,350,500,1200,84,10.6,64
337,Huntington College,IN,2,450,430,125,488,43,9950,9950,3920,250,300,1300,76,11.8,47
338,University of Indianapolis,IN,2,1487,1276,388,1417,1646,11120,11120,4080,30,525,1405,55,11.1,69
339,Indiana Institute of Technology,IN,2,1052,810,167,477,602,8120,8120,3790,,,,40,15.4,
340,University of Southern Indiana,IN,1,2379,2133,1292,4283,2973,2040,4973,1660,20,500,1425,56,22,38
341,Indiana University at Bloomington,IN,1,16587,13243,5873,24763,2717,2984,9766,,389,600,2000,77,21.3,68
342,Indiana Univ. East,IN,1,814,814,616,988,1356,2369,6140,,116,570,,52,13.8,24
343,Indiana Univ.-Purdue Univ. at Fort Wayne,IN,1,2464,2306,1714,4981,5917,2090,5170,,91,500,2000,67,16,41
344,Indiana Univ.-Purdue Univ. at Indianapolis,IN,1,4630,3655,2301,9216,11176,2766,8490,,212,600,2200,69,10.4,25
345,Indiana Univ. at Kokomo,IN,1,1108,1086,723,1139,2070,2369,6140,,90,660,,60,14.7,23
346,Indiana Univ. Northwest,IN,1,1572,1241,907,2699,2611,2369,6140,,96,500,,56,18.2,33
347,Indiana Univ. at South Bend,IN,1,1500,1250,980,2761,3341,2412,6594,,146,600,,69,14.4,33
348,Indiana Univ. Southeast,IN,1,1265,1256,911,2728,2660,2369,6140,,73,500,,76,16.7,33
349,Manchester College,IN,2,1004,802,239,909,51,10440,10440,1960,350,525,1450,63,11.8,64
350,Marian College,IN,2,770,542,238,923,427,9990,9990,3822,164,450,1540,38,10.4,61
351,Indiana Wesleyan University,IN,2,735,423,366,2448,707,9210,9210,1558,,700,1000,49,39.8,34
352,Oakland City College,IN,2,495,465,275,695,193,7620,7260,998,186,740,900,41,11.5,62
353,Purdue University at West Lafayette,IN,1,21804,18744,5874,26213,4065,2884,9556,,,570,1060,86,18.2,67
354,Purdue University Calumet,IN,1,,,,3831,4186,2374,5521,,30,490,,,,
355,Rose-Hulman Institute of Technology,IN,2,3320,1840,381,1320,,13380,13380,2070,120,600,600,91,13.6,97
356,Saint Francis College,IN,2,213,166,85,513,247,8670,8670,3820,80,450,1000,43,12.5,48
357,Saint Joseph's College,IN,2,920,684,225,815,222,11200,11200,4250,330,600,950,55,14.8,67
358,Calumet College of St. Joseph,IN,2,225,203,176,470,627,3960,3960,,25,,,37,10.6,
359,Saint Mary-of-the-Woods College,IN,2,150,130,88,341,768,10300,10300,1590,400,500,1700,44,10.2,75
360,Saint Mary's College,IN,2,888,734,393,1433,27,12730,12730,2652,901,500,1525,74,9.9,98
361,Saint Meinrad College,IN,2,69,44,36,118,,6004,6004,,76,400,2100,67,4.9,
362,Taylor University,IN,2,1769,1092,437,1757,81,10965,10965,1900,210,450,1250,60,14.2,98
363,Tri-State University,IN,2,1262,1102,276,978,98,9456,9456,,186,468,1323,53,12.8,65
364,University of Notre Dame,IN,2,7700,3700,1906,7671,30,16850,16850,4400,147,600,1350,96,13.1,97
365,Valparaiso University,IN,2,2075,1727,520,2501,198,11800,11800,1300,450,500,800,87,14.2,95
366,Wabash College,IN,2,800,623,256,801,5,12925,12925,1480,250,500,635,78,9.9,72
367,Indiana State University,IN,1,5659,4761,3147,8596,1949,2802,6892,,,600,2500,72,16.6,40
368,Baker University,KS,2,602,483,206,958,466,8620,8620,1900,310,400,2250,58,11,65
369,Bethany College,KS,2,878,816,200,706,62,8740,8740,1463,105,550,1700,62,11.6,48
370,Bethel College,KS,2,202,184,122,537,101,8540,8540,1960,200,500,1400,61,8.8,56
371,Fort Hays State University,KS,1,1363,1363,806,3640,706,1734,4869,2950,,500,,65,18.1,44
372,Friends University,KS,2,358,276,172,838,122,8516,8516,,115,650,,55,25,49
373,Pittsburg State University,KS,1,1419,1313,813,4469,499,1778,5424,3000,,300,2000,52,23.2,58
374,Emporia State University,KS,1,1256,1256,853,3957,588,1729,5401,1512,,450,1888,72,19.3,50
375,Kansas State University,KS,1,5880,4075,2833,14914,2246,1713,6995,3120,403,600,2000,76,18.5,54
376,Kansas Wesleyan University,KS,2,589,575,148,474,258,8400,8400,1850,120,500,1400,63,12.4,68
377,McPherson College,KS,2,420,293,93,336,80,7950,7950,1550,260,600,2740,54,9.8,48
378,Ottawa University,KS,2,607,388,236,538,36,7250,7250,1945,,400,2730,47,14.5,46
379,Southwestern College,KS,2,213,155,75,504,147,7200,7200,,,550,1500,56,11.8,52
380,Saint Mary College,KS,2,273,229,66,439,415,7800,7800,3820,270,800,,50,8.2,53
381,Sterling College,KS,2,479,373,127,631,133,8280,8280,,100,500,,50,16.1,36
382,Tabor College,KS,2,257,183,109,396,38,7850,7850,2010,200,400,1500,55,10,53
383,University of Kansas,KS,1,8579,5561,3681,17880,1673,1650,6994,,388,700,2681,88,13.7,57
384,Washburn University,KS,1,1100,1078,560,3157,2705,2790,4774,1410,32,450,1000,82,13.8,53
385,Wichita State University,KS,1,2901,2236,896,6550,5083,1650,6994,,465,450,350,82,20.4,32
386,MidAmerica Nazarene College,KS,2,331,331,225,1100,166,6840,6840,,472,1100,4913,33,15.4,49
387,Benedictine College,KS,2,632,620,222,702,501,9550,9550,2250,210,350,250,64,14.1,58
388,Alice Lloyd College,KY,2,1174,607,289,555,24,,3800,1100,300,500,800,56,19.4,31
389,Asbury College,KY,2,643,509,280,1110,39,8988,8988,1226,125,500,1600,61,12.1,
390,Bellarmine College,KY,2,807,707,308,1198,605,8840,8840,1950,100,750,1290,74,13.1,84
391,Berea College,KY,2,1836,599,455,1540,51,,,1355,188,450,1027,77,13.2,57
392,Brescia College,KY,2,307,260,99,452,249,7500,7500,3200,,650,,49,10.1,56
393,Campbellsville College,KY,2,848,587,298,935,184,6060,6060,1850,,600,1300,62,17.7,49
394,Spalding University,KY,2,283,201,97,589,263,8400,8400,,96,600,900,50,10.6,89
395,Centre College,KY,2,1013,888,288,943,7,11850,11850,2120,350,600,900,95,11.4,74
396,Cumberland College,KY,2,995,789,398,1306,122,6230,6230,3526,32,400,600,42,13,63
397,Eastern Kentucky University,KY,1,5443,5135,2445,11208,3350,1700,4700,1960,,600,,82,19.8,39
398,Georgetown College,KY,2,727,693,286,1063,48,8000,8100,1975,50,550,550,73,13.3,55
399,Kentucky State University,KY,1,1636,952,424,1544,896,1340,4120,1456,100,510,,60,15,19
400,Kentucky Wesleyan College,KY,2,584,497,175,662,121,8000,8000,2300,200,500,1300,57,11.3,62
401,Lindsey Wilson College,KY,2,1089,865,382,1006,164,6600,6600,1400,80,400,500,32,19.3,
402,Morehead State University,KY,1,2825,2495,1300,6311,975,1580,4740,,320,500,1050,58,19.9,52
403,Murray State University,KY,1,2225,1910,1190,5968,955,1580,4738,1290,280,700,940,72,20.2,52
404,Pikeville College,KY,2,404,400,169,797,100,6000,6000,3000,130,500,500,48,13.4,61
405,Transylvania University,KY,2,759,729,244,867,51,10900,10900,2480,450,500,1000,81,12.1,70
406,Union College,KY,2,484,384,177,634,78,7800,7800,2950,,500,600,60,14.1,64
407,University of Kentucky,KY,1,7769,5689,2675,14931,2596,2160,6640,,330,450,1340,95,12.2,52
408,University of Louisville,KY,1,4777,3057,1823,9844,6198,2180,6540,,210,530,2440,84,11.1,31
409,Thomas More College,KY,2,808,594,218,756,502,9490,9490,2248,110,400,880,65,10.5,66
410,Western Kentucky University,KY,1,4441,3260,2082,10264,2910,1801,4961,1316,221,500,1100,66,19.1,45
411,Northern Kentucky University,KY,1,2920,2506,1682,7112,3832,1720,4720,2900,,500,500,66,17.7,52
412,Centenary College of Louisiana,LA,2,495,434,210,775,44,8950,8950,1470,306,600,1900,86,11.3,66
413,Dillard University,LA,2,1998,1376,651,1539,45,6700,6700,,,500,2307,52,14.1,61
414,Nicholls State University,LA,1,2020,1898,1092,4921,1338,1980,4572,,37,600,2307,65,21.8,36
415,Grambling State University,LA,1,4847,3518,1900,6567,261,1044,1044,775,12,500,1200,46,24.6,58
416,Louisiana College,LA,2,2013,1053,212,912,158,5150,5150,,420,500,1655,64,10.5,59
417,Louisiana Tech University,LA,1,2397,2144,1525,6720,1822,2262,3957,1245,,618,1656,66,20,45
418,Louisiana State University at Baton Rouge,LA,1,5996,4993,3079,16269,3757,2625,5925,1720,75,600,2242,83,15.9,37
419,Louisiana State University at Shreveport,LA,1,675,645,500,2413,1477,1950,4990,,130,617,2307,62,18.1,35
420,University of New Orleans,LA,1,2406,2139,1501,8158,3643,2362,5154,1557,,800,1790,75,17.9,19
421,Loyola University,LA,2,1891,1698,719,2740,761,11100,11100,2980,190,600,750,77,11.7,53
422,McNeese State University,LA,1,2066,2031,1525,6020,1317,1966,3450,1110,,650,1608,69,21.1,34
423,Northeast Louisiana University,LA,1,2963,2814,1840,8718,1707,1644,3804,,282,617,1655,57,20.6,21
424,Northwestern State University of Louisiana,LA,1,2671,2671,1330,5742,1969,2040,4040,1236,143,500,1600,67,29.5,33
425,Our Lady of Holy Cross College,LA,2,246,217,171,674,472,4400,4400,,95,534,,72,16.1,73
426,Southeastern Louisiana University,LA,1,3247,3247,2297,9724,2192,1910,3854,1030,,250,,61,24.3,29
427,Southern University at New Orleans,LA,1,900,900,490,2911,1089,1451,3009,,,600,,62,19.6,35
428,Tulane University,LA,2,7033,5125,1223,4941,1534,19040,19040,2690,510,350,800,98,9.1,74
429,University of Southwestern Louisiana,LA,1,4299,4250,2664,11767,3219,1898,4898,,,560,,63,22.7,30
430,Xavier University of Louisiana,LA,2,2097,1915,695,2793,166,6900,6900,,200,617,781,67,14.4,49
431,Southern University and A & M College,LA,1,2431,2416,1711,7534,775,2028,3950,1208,,600,600,50,15.9,33
432,American International College,MA,2,1420,1093,220,1018,287,8700,8700,4780,480,450,1400,78,14.7,69
433,Amherst College,MA,2,4302,992,418,1593,5,19760,19760,2650,272,660,1598,93,8.4,100
434,Anna Maria College,MA,2,350,283,82,367,406,10800,10800,,550,500,,45,11.7,82
435,Assumption College,MA,2,2135,1700,491,1708,689,12000,12000,,125,500,500,93,13.8,88
436,Merrimack College,MA,2,1981,1541,514,1927,1084,12500,12500,2750,175,375,1000,73,16.8,80
437,Babson College,MA,2,2007,1139,407,1680,,16600,16600,2495,660,500,1045,93,16.8,94
438,Bentley College,MA,2,3466,2330,640,3095,1533,13800,13800,2730,65,630,850,87,17.5,82
439,Berklee College of Music,MA,2,1975,1516,712,2223,304,11550,11550,,385,400,1115,15,10.2,38
440,Boston College,MA,2,13112,6179,2154,8807,,16640,16640,3130,448,500,1300,95,16.6,90
441,Boston University,MA,2,20192,13007,3810,14971,3113,18420,18420,3920,270,475,1025,80,11.9,72
442,Bradford College,MA,2,443,330,151,453,42,14080,14080,3500,260,500,900,57,10.2,46
443,Brandeis University,MA,2,4186,2743,740,2819,62,19380,19380,3500,450,410,1000,90,9.8,84
444,Clark University,MA,2,2887,2059,457,1928,296,17500,17500,2000,440,500,950,94,10.5,79
445,Elms College,MA,2,245,208,125,544,436,11800,11800,4765,400,450,1700,71,11.3,86
446,College of the Holy Cross,MA,2,2994,1691,659,2675,22,18000,18000,6300,355,400,900,92,11.3,95
447,Curry College,MA,2,1224,936,283,891,332,13600,13600,3050,500,600,,39,8.7,58
448,Eastern Nazarene College,MA,2,516,409,200,1238,30,8770,8770,3500,590,450,700,58,17.3,70
449,Emerson College,MA,2,1849,1228,492,2025,169,15200,15200,4590,348,500,933,,18,62
450,Endicott College,MA,2,1000,858,319,665,298,11455,11455,,250,400,1000,33,12.3,
451,Gordon College,MA,2,674,565,282,1151,39,12200,12200,1470,520,400,1200,73,14.2,66
452,Harvard University,MA,2,13865,2165,1606,6862,320,18485,18485,3370,1335,500,1920,97,9.9,100
453,Lasell College,MA,2,618,540,171,470,59,11475,11475,,525,600,2150,32,9.1,
454,Lesley College,MA,2,244,198,82,1134,336,11700,11700,2100,120,550,805,71,27.8,58
455,University of Massachusetts at Lowell,MA,1,3986,3026,1093,5740,4182,4694,9838,1774,,500,1160,81,16.1,53
456,Massachusetts Institute of Technology,MA,2,6411,2140,1078,4481,28,20100,20100,3200,600,725,1600,99,10.1,94
457,Bridgewater State College,MA,1,4915,3340,1064,5356,1502,1408,5542,2291,2014,500,1750,73,17.1,51
458,Fitchburg State College,MA,1,2857,2090,577,2879,1412,1408,5542,2330,1826,450,1555,,14.7,57
459,Framingham State College,MA,1,4141,2316,586,3248,1969,1380,5244,2110,1796,500,600,68,21.2,
460,North Adams State College,MA,1,1563,1005,240,1380,136,1408,5542,2400,2147,500,1000,65,14.2,57
461,Salem State College,MA,1,3973,3168,1334,5625,3416,1408,5542,1564,1650,375,650,55,21,45
462,Westfield State College,MA,1,3100,2150,825,3234,941,1408,5542,2600,1746,500,1300,75,15.7,65
463,Worcester State College,MA,1,2197,1515,543,3089,2029,2663,6797,2660,1255,500,1200,60,21,40
464,Mount Holyoke College,MA,2,1800,1314,526,1891,40,19300,19300,2800,735,750,750,79,9,84
465,Mount Ida College,MA,2,4750,4041,795,1501,334,9810,9810,6890,290,300,,32,13.5,77
466,Nichols College,MA,2,780,702,218,707,693,9744,9744,2812,200,400,1000,83,27.7,
467,Northeastern University,MA,2,11901,8492,2517,11160,10221,13380,13380,3990,186,600,1750,73,12.9,46
468,Pine Manor College,MA,2,354,323,125,372,28,15190,15190,3240,675,400,500,46,8.9,67
469,Regis College,MA,2,427,385,143,581,533,12700,12700,5800,275,450,700,81,10.3,84
470,Simmons College,MA,2,1003,782,295,1144,160,16160,16160,,518,500,1200,74,8.9,79
471,Smith College,MA,2,2925,1598,632,2479,95,18820,18820,,163,500,1050,85,10.3,90
472,University of Massachusetts at Dartmouth,MA,1,3347,2597,1006,4664,1630,1836,6919,,1999,500,1250,74,15,56
473,Springfield College,MA,2,1888,1347,519,2160,131,9438,9438,2100,432,,,55,12.8,76
474,Stonehill College,MA,2,3646,2300,585,2022,926,12170,12170,,275,480,800,79,13,97
475,Suffolk University,MA,2,1247,980,356,2207,814,10584,10584,,60,500,2400,95,13.3,60
476,Tufts University,MA,2,7614,3605,1205,4598,,19701,19701,3038,503,600,928,99,10.3,92
477,University of Massachusetts at Amherst,MA,1,14438,12414,3816,16282,1940,2220,8566,1712,3247,500,1400,88,16.7,68
478,University of Massachusetts at Boston,MA,1,2237,1495,800,6034,4954,2220,8568,,2028,560,1221,86,14.5,41
479,Wellesley College,MA,2,2895,1249,579,2195,156,18345,18345,3055,360,500,700,94,10.6,91
480,Western New England College,MA,2,1650,1471,409,1803,1116,8994,8994,5500,800,498,2065,74,15.4,59
481,Wheaton College,MA,2,1738,1373,417,1335,30,18460,18460,2900,120,700,850,92,13.2,71
482,Wheelock College,MA,2,399,335,161,736,29,13472,13472,5528,,400,,74,9.6,74
483,Williams College,MA,2,4186,1245,526,1988,29,19629,19629,2855,141,500,1200,94,9,99
484,Worcester Polytechnic Institute,MA,2,2768,2314,682,2802,86,15884,15884,2790,346,530,730,92,15.2,82
485,Hampshire College,MA,2,1342,998,309,1079,,20655,20655,2000,690,375,450,79,11.4,62
486,Simon's Rock College of Bard,MA,2,300,171,132,303,3,16900,16900,2880,2000,400,900,76,8.2,84
487,Wentworth Institute of Technology,MA,2,1480,1257,452,2961,572,9850,9850,6050,,850,920,10,15.4,64
488,Capitol College,MD,2,100,90,35,282,331,8400,8400,2812,195,300,2134,10,12.1,52
489,Bowie State University,MD,1,1643,882,407,2179,1089,2141,4869,2384,673,600,2200,57,22,17
490,College of Notre Dame of Maryland,MD,2,457,356,177,667,1983,11180,11180,,100,600,700,64,11.5,75
491,Columbia Union College,MD,2,1301,957,101,514,466,9500,9500,1950,260,700,,47,13.9,63
492,Coppin State College,MD,1,1478,723,381,1863,775,2600,5000,4540,94,500,700,69,16.3,
493,Frostburg State University,MD,1,2916,2167,911,4147,449,2431,5428,2280,418,700,950,78,17.8,54
494,Goucher College,MD,2,1151,813,248,850,80,15588,15588,4114,100,500,1200,78,9.2,77
495,Hood College,MD,2,699,565,176,710,399,13960,13960,,150,450,690,82,14.4,72
496,Johns Hopkins University,MD,2,8474,3446,911,3566,1569,18800,18800,3815,,500,1040,96,3.3,90
497,Loyola College,MD,2,4076,3137,738,3010,184,12990,12990,,190,600,900,86,14.7,80
498,Morgan State University,MD,1,5892,3034,1358,4517,745,1794,4136,,643,550,,80,18.2,29
499,Mount Saint Mary's College,MD,2,1321,1159,328,1243,79,12850,12850,3100,,550,900,77,12.8,80
500,Salisbury State University,MD,1,4216,2290,736,4296,1027,2328,5130,2190,766,600,1450,73,17.9,56
501,St. John's College,MD,2,323,278,122,393,4,16150,16150,5450,200,275,800,63,7.2,64
502,St. Mary's College of Maryland,MD,1,1340,695,285,1315,209,4000,6800,4730,915,675,1250,84,11.6,63
503,Towson State University,MD,1,6151,3837,1215,9247,3584,2166,5166,2660,1121,660,1053,76,17.6,60
504,United States Naval Academy,MD,1,11522,1463,1181,4125,,,,,,,,54,6.8,94
505,University of Maryland at College Park,MD,1,14292,10315,3409,19340,3991,2919,8723,2899,561,550,1550,89,18.1,63
506,University of Maryland at Baltimore County,MD,1,4269,2594,985,6476,2592,3338,8594,1930,,494,2768,82,18.4,55
507,University of Maryland Eastern Shore,MD,1,1600,1016,508,2067,199,2674,7014,2080,,500,,56,17.8,35
508,Villa Julie College,MD,2,823,347,237,1055,803,7400,7400,,90,600,2910,39,10.2,72
509,Washington College,MD,2,1209,942,214,822,46,15276,15276,2372,,500,300,79,11.2,65
510,Western Maryland College,MD,2,1205,984,278,1071,98,14510,14510,2430,,500,1400,84,12.5,60
511,University of Maine at Presque Isle,ME,1,461,381,235,974,503,2700,6600,1904,200,400,1675,67,15.2,35
512,Bates College,ME,2,3461,1541,577,1599,,25180,25180,,,650,1120,79,9.8,93
513,Bowdoin College,ME,2,3356,1019,418,1490,8,19030,19030,2620,325,1495,875,93,11.2,96
514,Colby College,ME,2,2848,1319,456,1720,35,18930,18930,2890,900,500,1000,83,10.2,91
515,University of Maine at Farmington,ME,1,1208,803,438,1906,344,2790,6810,2124,240,450,1647,67,15.9,59
516,University of Maine at Fort Kent,ME,1,225,168,104,467,174,1968,4800,1675,90,500,,65,15,38
517,Husson College,ME,2,723,652,361,951,706,7800,7800,4000,100,350,1500,36,22,84
518,University of New England,ME,2,1209,750,265,820,159,11450,11450,5045,500,900,2500,72,11.4,64
519,Saint Joseph's College,ME,2,833,682,217,716,2196,9985,9985,,295,500,800,53,27.2,85
520,Thomas College,ME,2,356,312,139,388,412,8850,8850,2300,200,600,1000,29,21.8,75
521,University of Maine at Orono,ME,1,5260,4589,1741,7366,1795,3085,7975,4385,,500,,93,14.5,56
522,University of Maine at Machias,ME,1,441,369,172,633,317,2700,6600,1830,175,600,400,46,15.1,64
523,Unity College,ME,2,456,409,185,458,25,8750,9550,2375,425,400,700,45,11.4,44
524,University of Southern Maine,ME,1,2335,1933,905,3556,2917,2880,8160,,226,500,1530,,14.6,
525,Adrian College,MI,2,1428,1097,336,1036,99,11250,11250,1590,100,400,1165,53,12.9,54
526,Albion College,MI,2,1899,1720,489,1594,32,13868,13868,2426,1042,450,850,89,13.7,73
527,Alma College,MI,2,1267,1080,385,1306,28,12572,12572,2226,297,400,400,79,15.3,68
528,Andrews University,MI,2,1130,704,322,1586,326,9996,9996,1815,135,900,1320,62,11.5,46
529,Aquinas College,MI,2,619,516,219,1251,767,11208,11208,4124,,350,1615,55,12.7,65
530,Calvin College,MI,2,1784,1512,913,3401,136,10230,10230,1570,,400,1210,75,14.8,81
531,Central Michigan University,MI,1,7304,6263,2539,13244,1396,2725,6660,,250,600,1000,66,20.4,70
532,Concordia College,MI,2,180,171,74,562,18,10430,10430,,,400,500,55,11.6,84
533,William Tyndale College,MI,2,260,195,139,235,307,5519,5519,,255,500,500,85,12.9,16
534,Eastern Michigan University,MI,1,6693,5423,2242,13142,6421,2482,6360,4031,233,600,1200,74,20.6,49
535,Ferris State University,MI,1,8671,5855,3395,8996,1901,3412,6911,4171,,590,1082,38,18.2,57
536,Grand Valley State University,MI,1,5165,3887,1561,8234,2619,2422,6108,3800,120,500,1000,64,20.6,57
537,Hillsdale College,MI,2,920,745,347,1133,42,11090,11090,2600,210,400,750,80,12,79
538,Hope College,MI,2,1712,1483,624,2505,208,12275,12275,1980,84,465,1100,72,12.5,72
539,Kalamazoo College,MI,2,1224,1101,338,1218,,16179,16179,2667,70,510,780,75,12.4,74
540,Lawrence Technological University,MI,2,867,695,312,2176,2063,6759,6759,,90,700,,40,15.8,45
541,Madonna University,MI,2,440,391,231,1367,2662,5040,5040,2074,40,395,1155,54,14.7,57
542,Marygrove College,MI,2,,177,125,602,488,8094,8094,1100,48,566,,51,10.6,23
543,Michigan State University,MI,1,18114,15096,6180,26640,4120,4103,10658,1646,524,504,600,93,14,71
544,Michigan Technological University,MI,1,2618,2288,1032,5524,414,3510,8127,1836,126,900,1200,82,17,65
545,Lake Superior State University,MI,1,1406,1169,522,2432,592,3312,6456,1625,,500,600,47,19.9,51
546,Northern Michigan University,MI,1,4519,3844,1432,6261,1634,2076,3880,,50,400,1165,59,22,51
547,Oakland University,MI,1,3041,2581,1173,6441,3982,3123,9114,,230,400,650,88,19.7,53
548,Olivet College,MI,2,620,565,296,766,58,10500,10500,1600,,550,500,53,16,51
549,Saginaw Valley State University,MI,1,1549,1349,687,3598,2147,2674,5673,3650,217,550,900,77,18.2,40
550,Siena Heights College,MI,2,464,419,183,686,287,9240,9240,1940,,475,1090,29,7.2,47
551,Spring Arbor College,MI,2,372,362,181,1501,353,8600,8600,1980,106,385,665,48,15.4,49
